repo,user_id,year,office,organization_role
synthetic_repo_001,synthetic_user_0672,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_001,synthetic_user_1018,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_001,synthetic_user_1147,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_004,synthetic_user_0015,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_004,synthetic_user_0160,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_004,synthetic_user_0337,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_004,synthetic_user_0621,2020,Basic Energy Sciences,POSTDOC
synthetic_repo_004,synthetic_user_0640,2020,Basic Energy Sciences,NONE
synthetic_repo_004,synthetic_user_0783,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_004,synthetic_user_0810,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_004,synthetic_user_1018,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_004,synthetic_user_1051,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_004,synthetic_user_1059,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_005,synthetic_user_0015,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_005,synthetic_user_0328,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_005,synthetic_user_0398,2020,Basic Energy Sciences,OTHER
synthetic_repo_005,synthetic_user_0438,2020,Basic Energy Sciences,UNDRGRAD
synthetic_repo_005,synthetic_user_0520,2020,Basic Energy Sciences,POSTDOC
synthetic_repo_005,synthetic_user_0781,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_005,synthetic_user_0784,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_005,synthetic_user_1032,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_005,synthetic_user_1044,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_005,synthetic_user_1059,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_005,synthetic_user_1166,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_005,synthetic_user_1186,2020,Basic Energy Sciences,FACULTY
synthetic_repo_006,synthetic_user_0205,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_006,synthetic_user_0213,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_006,synthetic_user_0379,2020,Basic Energy Sciences,FACULTY
synthetic_repo_006,synthetic_user_0404,2020,Basic Energy Sciences,UNDRGRAD
synthetic_repo_006,synthetic_user_0408,2020,Basic Energy Sciences,UNDRGRAD
synthetic_repo_006,synthetic_user_0437,2020,Basic Energy Sciences,UNDRGRAD
synthetic_repo_006,synthetic_user_0640,2020,Basic Energy Sciences,NONE
synthetic_repo_006,synthetic_user_0822,2020,Basic Energy Sciences,FACULTY
synthetic_repo_006,synthetic_user_0920,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_006,synthetic_user_0922,2020,Basic Energy Sciences,POSTDOC
synthetic_repo_006,synthetic_user_1016,2020,Basic Energy Sciences,FACULTY
synthetic_repo_006,synthetic_user_1032,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_006,synthetic_user_1051,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_006,synthetic_user_1147,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_009,synthetic_user_0011,2020,Basic Energy Sciences,NONE
synthetic_repo_009,synthetic_user_0015,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_009,synthetic_user_0016,2020,Basic Energy Sciences,UNDRGRAD
synthetic_repo_009,synthetic_user_0032,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_009,synthetic_user_0035,2020,Basic Energy Sciences,UNDRGRAD
synthetic_repo_009,synthetic_user_0121,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_009,synthetic_user_0148,2020,Basic Energy Sciences,FACULTY
synthetic_repo_009,synthetic_user_0160,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_009,synthetic_user_0205,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_009,synthetic_user_0280,2020,Basic Energy Sciences,FACULTY
synthetic_repo_009,synthetic_user_0285,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_009,synthetic_user_0321,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_009,synthetic_user_0328,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_009,synthetic_user_0401,2020,Basic Energy Sciences,OTHER
synthetic_repo_009,synthetic_user_0404,2020,Basic Energy Sciences,UNDRGRAD
synthetic_repo_009,synthetic_user_0437,2020,Basic Energy Sciences,UNDRGRAD
synthetic_repo_009,synthetic_user_0438,2020,Basic Energy Sciences,UNDRGRAD
synthetic_repo_009,synthetic_user_0448,2020,Basic Energy Sciences,OTHER
synthetic_repo_009,synthetic_user_0456,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_009,synthetic_user_0480,2020,Basic Energy Sciences,FACULTY
synthetic_repo_009,synthetic_user_0520,2020,Basic Energy Sciences,POSTDOC
synthetic_repo_009,synthetic_user_0590,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_009,synthetic_user_0640,2020,Basic Energy Sciences,NONE
synthetic_repo_009,synthetic_user_0671,2020,Basic Energy Sciences,FACULTY
synthetic_repo_009,synthetic_user_0672,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_009,synthetic_user_0673,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_009,synthetic_user_0784,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_009,synthetic_user_0810,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_009,synthetic_user_0862,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_009,synthetic_user_0864,2020,Basic Energy Sciences,POSTDOC
synthetic_repo_009,synthetic_user_0920,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_009,synthetic_user_0959,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_009,synthetic_user_1015,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_009,synthetic_user_1018,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_009,synthetic_user_1032,2020,Basic Energy Sciences,GRADUATE
synthetic_repo_009,synthetic_user_1051,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_009,synthetic_user_1059,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_009,synthetic_user_1119,2020,Basic Energy Sciences,PROSTAFF
synthetic_repo_009,synthetic_user_1131,2020,Basic Energy Sciences,OTHER
synthetic_repo_009,synthetic_user_1147,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_009,synthetic_user_1179,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_011,synthetic_user_0457,2020,High Energy Physics,FACULTY
synthetic_repo_011,synthetic_user_0665,2020,High Energy Physics,GRADUATE
synthetic_repo_011,synthetic_user_0785,2020,High Energy Physics,GRADUATE
synthetic_repo_011,synthetic_user_0915,2020,High Energy Physics,POSTDOC
synthetic_repo_014,synthetic_user_0067,2020,High Energy Physics,POSTDOC
synthetic_repo_014,synthetic_user_0101,2020,High Energy Physics,PROSTAFF
synthetic_repo_014,synthetic_user_0347,2020,High Energy Physics,GRADUATE
synthetic_repo_014,synthetic_user_0442,2020,High Energy Physics,GRADUATE
synthetic_repo_014,synthetic_user_0450,2020,High Energy Physics,FACULTY
synthetic_repo_014,synthetic_user_0457,2020,High Energy Physics,FACULTY
synthetic_repo_014,synthetic_user_0889,2020,High Energy Physics,SCIENTST
synthetic_repo_014,synthetic_user_0928,2020,High Energy Physics,POSTDOC
synthetic_repo_014,synthetic_user_0962,2020,High Energy Physics,FACULTY
synthetic_repo_014,synthetic_user_1096,2020,High Energy Physics,GRADUATE
synthetic_repo_014,synthetic_user_1171,2020,High Energy Physics,SCIENTST
synthetic_repo_015,synthetic_user_0167,2020,High Energy Physics,NONE
synthetic_repo_015,synthetic_user_0203,2020,High Energy Physics,SCIENTST
synthetic_repo_015,synthetic_user_0255,2020,High Energy Physics,SCIENTST
synthetic_repo_015,synthetic_user_0347,2020,High Energy Physics,GRADUATE
synthetic_repo_015,synthetic_user_0429,2020,High Energy Physics,SCIENTST
synthetic_repo_015,synthetic_user_0445,2020,High Energy Physics,GRADUATE
synthetic_repo_015,synthetic_user_0450,2020,High Energy Physics,FACULTY
synthetic_repo_015,synthetic_user_0452,2020,High Energy Physics,POSTDOC
synthetic_repo_015,synthetic_user_0529,2020,High Energy Physics,POSTDOC
synthetic_repo_015,synthetic_user_0602,2020,High Energy Physics,SCIENTST
synthetic_repo_015,synthetic_user_0649,2020,High Energy Physics,FACULTY
synthetic_repo_015,synthetic_user_0713,2020,High Energy Physics,OTHER
synthetic_repo_015,synthetic_user_0715,2020,High Energy Physics,UNDRGRAD
synthetic_repo_015,synthetic_user_0933,2020,High Energy Physics,GRADUATE
synthetic_repo_015,synthetic_user_0983,2020,High Energy Physics,GRADUATE
synthetic_repo_015,synthetic_user_1039,2020,High Energy Physics,POSTDOC
synthetic_repo_016,synthetic_user_0034,2020,High Energy Physics,POSTDOC
synthetic_repo_016,synthetic_user_0067,2020,High Energy Physics,POSTDOC
synthetic_repo_016,synthetic_user_0176,2020,High Energy Physics,OTHER
synthetic_repo_016,synthetic_user_0308,2020,High Energy Physics,GRADUATE
synthetic_repo_016,synthetic_user_0341,2020,High Energy Physics,PROSTAFF
synthetic_repo_016,synthetic_user_0422,2020,High Energy Physics,GRADUATE
synthetic_repo_016,synthetic_user_0450,2020,High Energy Physics,FACULTY
synthetic_repo_016,synthetic_user_0635,2020,High Energy Physics,PROSTAFF
synthetic_repo_016,synthetic_user_0642,2020,High Energy Physics,SCIENTST
synthetic_repo_016,synthetic_user_0785,2020,High Energy Physics,GRADUATE
synthetic_repo_016,synthetic_user_0872,2020,High Energy Physics,POSTDOC
synthetic_repo_016,synthetic_user_0912,2020,High Energy Physics,OTHER
synthetic_repo_016,synthetic_user_0915,2020,High Energy Physics,POSTDOC
synthetic_repo_016,synthetic_user_1039,2020,High Energy Physics,POSTDOC
synthetic_repo_019,synthetic_user_0034,2020,High Energy Physics,POSTDOC
synthetic_repo_019,synthetic_user_0128,2020,High Energy Physics,PROSTAFF
synthetic_repo_019,synthetic_user_0133,2020,High Energy Physics,UNDRGRAD
synthetic_repo_019,synthetic_user_0154,2020,High Energy Physics,SCIENTST
synthetic_repo_019,synthetic_user_0167,2020,High Energy Physics,NONE
synthetic_repo_019,synthetic_user_0255,2020,High Energy Physics,SCIENTST
synthetic_repo_019,synthetic_user_0308,2020,High Energy Physics,GRADUATE
synthetic_repo_019,synthetic_user_0325,2020,High Energy Physics,SCIENTST
synthetic_repo_019,synthetic_user_0341,2020,High Energy Physics,PROSTAFF
synthetic_repo_019,synthetic_user_0347,2020,High Energy Physics,GRADUATE
synthetic_repo_019,synthetic_user_0380,2020,High Energy Physics,POSTDOC
synthetic_repo_019,synthetic_user_0450,2020,High Energy Physics,FACULTY
synthetic_repo_019,synthetic_user_0457,2020,High Energy Physics,FACULTY
synthetic_repo_019,synthetic_user_0488,2020,High Energy Physics,FACULTY
synthetic_repo_019,synthetic_user_0529,2020,High Energy Physics,POSTDOC
synthetic_repo_019,synthetic_user_0602,2020,High Energy Physics,SCIENTST
synthetic_repo_019,synthetic_user_0635,2020,High Energy Physics,PROSTAFF
synthetic_repo_019,synthetic_user_0642,2020,High Energy Physics,SCIENTST
synthetic_repo_019,synthetic_user_0683,2020,High Energy Physics,POSTDOC
synthetic_repo_019,synthetic_user_0713,2020,High Energy Physics,OTHER
synthetic_repo_019,synthetic_user_0715,2020,High Energy Physics,UNDRGRAD
synthetic_repo_019,synthetic_user_0760,2020,High Energy Physics,OTHER
synthetic_repo_019,synthetic_user_0801,2020,High Energy Physics,GRADUATE
synthetic_repo_019,synthetic_user_0872,2020,High Energy Physics,POSTDOC
synthetic_repo_019,synthetic_user_0889,2020,High Energy Physics,SCIENTST
synthetic_repo_019,synthetic_user_0915,2020,High Energy Physics,POSTDOC
synthetic_repo_019,synthetic_user_0953,2020,High Energy Physics,SCIENTST
synthetic_repo_019,synthetic_user_0983,2020,High Energy Physics,GRADUATE
synthetic_repo_019,synthetic_user_1024,2020,High Energy Physics,OTHER
synthetic_repo_019,synthetic_user_1039,2020,High Energy Physics,POSTDOC
synthetic_repo_019,synthetic_user_1114,2020,High Energy Physics,POSTDOC
synthetic_repo_019,synthetic_user_1145,2020,High Energy Physics,POSTDOC
synthetic_repo_019,synthetic_user_1161,2020,High Energy Physics,PROSTAFF
synthetic_repo_021,synthetic_user_0115,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_021,synthetic_user_0263,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_021,synthetic_user_0554,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_021,synthetic_user_0763,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_021,synthetic_user_1106,2020,NERSC Directors Reserve,FACULTY
synthetic_repo_024,synthetic_user_0188,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_024,synthetic_user_0252,2020,NERSC Directors Reserve,SCIENTST
synthetic_repo_024,synthetic_user_0307,2020,NERSC Directors Reserve,SCIENTST
synthetic_repo_024,synthetic_user_0334,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_024,synthetic_user_0513,2020,NERSC Directors Reserve,FACULTY
synthetic_repo_024,synthetic_user_0626,2020,NERSC Directors Reserve,FACULTY
synthetic_repo_024,synthetic_user_1021,2020,NERSC Directors Reserve,FACULTY
synthetic_repo_024,synthetic_user_1070,2020,NERSC Directors Reserve,SCIENTST
synthetic_repo_024,synthetic_user_1111,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_025,synthetic_user_0095,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_025,synthetic_user_0118,2020,NERSC Directors Reserve,PROSTAFF
synthetic_repo_025,synthetic_user_0161,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_025,synthetic_user_0248,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_025,synthetic_user_0263,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_025,synthetic_user_0307,2020,NERSC Directors Reserve,SCIENTST
synthetic_repo_025,synthetic_user_0334,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_025,synthetic_user_0346,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_025,synthetic_user_0353,2020,NERSC Directors Reserve,NONE
synthetic_repo_025,synthetic_user_0554,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_025,synthetic_user_0582,2020,NERSC Directors Reserve,SCIENTST
synthetic_repo_025,synthetic_user_0761,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_025,synthetic_user_0763,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_025,synthetic_user_0803,2020,NERSC Directors Reserve,SCIENTST
synthetic_repo_025,synthetic_user_1078,2020,NERSC Directors Reserve,OTHER
synthetic_repo_025,synthetic_user_1155,2020,NERSC Directors Reserve,PROSTAFF
synthetic_repo_026,synthetic_user_0278,2020,NERSC Directors Reserve,OTHER
synthetic_repo_026,synthetic_user_0333,2020,NERSC Directors Reserve,SCIENTST
synthetic_repo_026,synthetic_user_0353,2020,NERSC Directors Reserve,NONE
synthetic_repo_026,synthetic_user_0447,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_026,synthetic_user_0483,2020,NERSC Directors Reserve,SCIENTST
synthetic_repo_026,synthetic_user_0554,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_026,synthetic_user_0583,2020,NERSC Directors Reserve,UNDRGRAD
synthetic_repo_026,synthetic_user_0676,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_026,synthetic_user_0763,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_026,synthetic_user_0803,2020,NERSC Directors Reserve,SCIENTST
synthetic_repo_026,synthetic_user_0926,2020,NERSC Directors Reserve,UNDRGRAD
synthetic_repo_026,synthetic_user_0935,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_026,synthetic_user_0942,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_026,synthetic_user_1155,2020,NERSC Directors Reserve,PROSTAFF
synthetic_repo_026,synthetic_user_1176,2020,NERSC Directors Reserve,SCIENTST
synthetic_repo_029,synthetic_user_0095,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_029,synthetic_user_0115,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_029,synthetic_user_0118,2020,NERSC Directors Reserve,PROSTAFF
synthetic_repo_029,synthetic_user_0185,2020,NERSC Directors Reserve,UNDRGRAD
synthetic_repo_029,synthetic_user_0207,2020,NERSC Directors Reserve,PROSTAFF
synthetic_repo_029,synthetic_user_0232,2020,NERSC Directors Reserve,PROSTAFF
synthetic_repo_029,synthetic_user_0248,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_029,synthetic_user_0263,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_029,synthetic_user_0278,2020,NERSC Directors Reserve,OTHER
synthetic_repo_029,synthetic_user_0307,2020,NERSC Directors Reserve,SCIENTST
synthetic_repo_029,synthetic_user_0334,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_029,synthetic_user_0346,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_029,synthetic_user_0350,2020,NERSC Directors Reserve,FACULTY
synthetic_repo_029,synthetic_user_0353,2020,NERSC Directors Reserve,NONE
synthetic_repo_029,synthetic_user_0387,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_029,synthetic_user_0400,2020,NERSC Directors Reserve,PROSTAFF
synthetic_repo_029,synthetic_user_0465,2020,NERSC Directors Reserve,GRADUATE
synthetic_repo_029,synthetic_user_0479,2020,NERSC Directors Reserve,OTHER
synthetic_repo_029,synthetic_user_0513,2020,NERSC Directors Reserve,FACULTY
synthetic_repo_029,synthetic_user_0554,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_029,synthetic_user_0563,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_029,synthetic_user_0575,2020,NERSC Directors Reserve,PROSTAFF
synthetic_repo_029,synthetic_user_0581,2020,NERSC Directors Reserve,POSTDOC
synthetic_repo_029,synthetic_user_0583,2020,NERSC Directors Reserve,UNDRGRAD
